Jornada,Partido,Nombre,Dorsal,Nacionalidad,Posicion,Edad,Min,Gls,Asist,Penaltis,Penaltis_int,Disp.,Disp_a_puerta,Tarj_am,Tarj_rj,Num_toques,Entradas,Intercep.,Bloqueos,xG,xG_sin_penal,xAG,Acc_creacion_tiro,Acc_creacion_gol,Pases_compl,Pases_int,%_pases,Pases_progr,Veces_control,Conducc_progr,Acosos_int,Exito_acosos,Dist_tt_pases,Dist_progr_pases,Pases_cort_cmp,Pases_cort_int,%_cortos,Pases_med_cmp,Pases_med_int,%_medios,Pases_lrg_cmp,Pases_lrg_int,%_largos,xA,Pases_clave,Pases_ult_tercio,Pases_area,Centros,Pases_prof,Pases_en_vivo,Pases_balon_parado,Saques_falta,Pases_lrg,Cambio_orient,Pases_cruzad,Pases_lanz.,Saques_córner,Entradas_gan,Ent_prim_terc,Ent_seg_terc,Ent_ult_terc,DF_acosos,Exit_acosos,%_acosos,Acosos_perd,Bloq_tiro,Bloq_pase,Tkls+intercp,Despejes,Error_+_tiro,Toq_prop_area,Toq_prim_terc,Toq_seg_terc,Toq_ult_terc,Toq_area_riv,Dist_tt_traslado,Dist_tt_prog,Conducc_ult_terc,Conducc_area_riv,Perd_control,Perdida,Pases_recib,Pases_recib_prof,Faltas_com,Faltas_recib,Fueras_de_juego,Penal_recib,Penal_comet,Gol_recib,Recuperac,Duelos_aereos_gan,Duelos_aereos_perd,%_duelos_aereos
15,VAL-ATM,Ángel Correa,10,ARG,FW,29,27,0,1,0,0,1,0,0,0,13,1,0,0,0.0,0.0,0.8,1,1,5,11,45.5,1,9,0,0,0,78,22,3,6,50.0,1,2,50.0,1,1,100.0,0.6,1,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,1,0,0,0,1,3,9,3,27,11,0,0,0,0,11,4,0,1,0,0,0,0,0,0,0,0.0
15,VAL-ATM,Antoine Griezmann,7,FRA,FW,33,63,1,0,0,0,3,2,0,0,55,0,1,0,0.6,0.6,0.1,4,2,37,46,80.4,1,20,0,0,0,504,115,22,23,95.7,8,10,80.0,4,9,44.4,0.2,1,3,0,0,1,41,5,0,0,0,4,1,4,0,0,0,0,0,0,0.0,0,0,0,1,1,0,3,7,20,28,3,72,26,0,0,3,0,40,7,0,0,1,0,0,0,2,0,1,0.0
15,VAL-ATM,Alexander Sørloth,9,NOR,FW,28,27,1,0,0,0,1,1,0,0,14,0,0,0,0.8,0.8,0.0,0,0,8,9,88.9,1,5,0,0,0,120,15,5,5,100.0,2,3,66.7,1,1,100.0,0.0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,2,2,7,5,2,30,0,0,0,1,0,10,2,0,0,0,0,0,0,0,2,1,66.7
15,VAL-ATM,Conor Gallagher,4,ENG,LM,24,90,0,0,0,0,1,0,0,0,58,1,0,0,0.1,0.1,0.0,1,1,47,52,90.4,5,34,0,2,0,621,95,28,29,96.6,15,17,88.2,1,1,100.0,0.2,0,1,4,0,5,50,1,0,1,0,1,1,0,0,0,1,0,1,3,33.3,2,0,0,1,1,0,3,9,26,23,1,79,30,0,0,0,3,50,7,2,1,0,0,0,0,3,0,0,0.0
15,VAL-ATM,Pablo Barrios,8,ESP,CM,21,78,0,0,0,0,0,0,0,0,61,1,0,1,0.0,0.0,0.0,1,0,47,54,87.0,1,38,1,2,2,727,197,24,24,100.0,21,24,87.5,2,6,33.3,0.0,1,4,0,0,1,54,0,0,0,1,0,0,0,1,1,0,0,0,0,0.0,0,0,1,1,1,0,0,17,36,9,2,228,106,1,1,2,0,50,3,0,0,0,0,0,0,6,0,0,0.0
15,VAL-ATM,Samuel Lino,12,BRA,LM,24,12,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,3,0,0,0,86,42,3,3,100.0,1,2,50.0,1,1,100.0,0.0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,2,1,3,1,8,2,0,0,0,1,5,1,0,0,0,0,0,0,1,0,0,0.0
15,VAL-ATM,Rodrigo De Paul,5,ARG,CM,30,63,1,0,0,0,2,1,0,0,78,0,0,0,0.5,0.5,0.0,3,0,64,75,85.3,14,58,7,1,1,1018,324,37,38,97.4,21,24,87.5,6,11,54.5,0.1,0,12,4,0,14,71,2,2,4,0,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,9,55,15,2,351,236,5,0,0,0,71,2,0,1,0,0,0,0,4,0,0,0.0
15,VAL-ATM,Koke,6,ESP,CM,32,27,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,20,22,90.9,3,8,0,0,0,300,91,12,14,85.7,4,4,100.0,2,2,100.0,0.1,0,5,2,0,3,21,1,1,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,0,0,8,11,6,0,16,6,0,0,1,0,19,0,0,1,0,0,0,0,4,0,0,0.0
15,VAL-ATM,Giuliano Simeone,22,ARG,RM,21,90,0,0,0,0,1,1,1,0,55,2,0,0,0.0,0.0,0.2,4,0,37,46,80.4,3,28,5,4,2,449,85,28,32,87.5,8,11,72.7,0,1,0.0,0.4,3,1,2,0,3,46,0,0,0,0,1,0,0,1,1,0,1,0,0,0.0,0,0,0,2,0,0,0,9,21,26,7,184,111,3,1,2,0,39,4,1,0,1,0,0,0,8,0,1,0.0
15,VAL-ATM,Javi Galán,21,ESP,LB,30,45,0,1,0,0,0,0,1,0,36,1,0,2,0.0,0.0,0.5,1,1,26,29,89.7,1,22,4,1,0,342,79,17,17,100.0,9,10,90.0,0,2,0.0,0.1,1,2,0,0,1,26,3,1,0,0,0,2,0,1,1,0,0,1,1,100.0,0,0,2,1,0,0,0,9,19,9,1,112,82,1,1,0,0,22,5,4,2,0,0,0,0,2,1,0,100.0
15,VAL-ATM,Reinildo Mandava,23,MOZ,LB,30,45,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,25,31,80.6,0,14,1,0,0,356,155,18,18,100.0,5,10,50.0,2,3,66.7,0.0,0,1,0,0,0,26,5,0,0,0,1,5,0,0,0,0,0,0,2,0.0,2,0,0,0,1,0,2,13,15,6,1,46,24,1,0,2,0,17,0,1,0,0,0,0,0,4,2,1,66.7
15,VAL-ATM,Clément Lenglet,15,FRA,CB,29,90,1,0,0,0,1,1,0,0,78,0,0,2,0.9,0.9,0.0,0,0,62,69,89.9,6,46,0,0,0,1274,392,17,20,85.0,39,39,100.0,6,9,66.7,0.0,0,2,0,0,6,68,1,1,0,3,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,4,0,10,36,41,1,1,250,150,0,0,0,0,59,0,1,0,0,0,0,0,2,3,3,50.0
15,VAL-ATM,José María Giménez,2,URU,CB,29,90,0,0,0,0,1,1,0,0,79,0,0,1,0.1,0.1,0.0,0,0,63,70,90.0,2,47,0,0,0,1198,402,19,21,90.5,39,43,90.7,5,6,83.3,0.0,0,2,0,0,2,70,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,1,0,0,7,1,13,39,39,1,1,207,121,0,0,0,0,64,0,0,0,0,0,0,0,1,1,5,16.7
15,VAL-ATM,Marcos Llorente,14,ESP,RB,29,90,0,1,0,0,0,0,0,0,77,3,0,0,0.0,0.0,0.9,2,1,58,73,79.5,2,47,5,3,1,781,334,40,43,93.0,14,19,73.7,2,7,28.6,0.4,1,0,0,0,2,62,11,0,0,0,2,11,0,2,2,1,0,3,4,75.0,1,0,0,3,1,0,3,30,29,18,3,212,129,2,1,0,0,54,6,1,0,1,0,0,0,6,0,1,0.0
15,VAL-ATM,Jan Oblak,13,SVN,GK,31,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,25,26,96.2,0,13,0,0,0,628,368,2,2,100.0,18,18,100.0,5,6,83.3,0.0,0,0,0,0,0,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,23,26,0,0,0,63,28,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0.0
16,SEV-ATM,Julián Álvarez,19,ARG,FW,24,74,0,0,0,0,1,0,1,0,36,0,0,0,0.0,0.0,0.2,1,0,20,30,66.7,1,28,5,3,1,289,66,12,18,66.7,7,8,87.5,1,3,33.3,0.1,1,1,0,0,1,29,1,0,0,0,1,0,1,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,1,18,17,2,165,83,1,0,1,0,30,8,3,0,0,0,0,0,1,0,1,0.0
16,SEV-ATM,Ángel Correa,10,ARG,FW,29,16,0,0,0,0,1,0,0,0,18,0,0,1,0.0,0.0,0.0,0,0,9,11,81.8,1,14,2,3,1,114,27,6,6,100.0,3,5,60.0,0,0,0.0,0.0,0,0,1,0,1,10,1,0,0,0,2,0,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,3,16,4,79,36,1,0,0,0,13,3,0,0,0,0,0,0,1,0,0,0.0
16,SEV-ATM,Antoine Griezmann,7,FRA,FW,33,90,2,0,0,0,4,3,1,0,72,0,0,0,0.7,0.7,0.7,1,0,46,60,76.7,6,40,2,2,1,731,151,26,28,92.9,16,23,69.6,4,7,57.1,0.4,1,4,2,0,6,51,9,2,1,1,6,0,3,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,2,34,37,8,142,82,1,1,5,0,52,9,1,0,0,0,0,0,5,0,2,0.0
16,SEV-ATM,Conor Gallagher,4,ENG,LM,24,62,0,0,0,0,1,0,0,0,47,0,0,0,0.7,0.7,0.0,1,0,38,44,86.4,2,28,2,3,3,476,81,27,28,96.4,9,11,81.8,0,2,0.0,0.0,0,4,0,0,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,6,33,9,1,112,52,0,0,1,1,36,4,0,0,0,0,0,0,2,0,1,0.0
16,SEV-ATM,Alexander Sørloth,9,NOR,LM,29,28,0,0,0,0,3,3,0,0,9,0,0,0,0.5,0.5,0.0,0,0,3,3,100.0,2,6,0,4,2,33,8,2,2,100.0,1,1,100.0,0,0,0.0,0.0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,7,3,27,12,0,0,0,1,5,1,0,0,0,0,0,0,3,1,2,33.3
16,SEV-ATM,Pablo Barrios,8,ESP,CM,21,90,0,1,0,0,0,0,1,0,89,3,0,0,0.0,0.0,0.2,5,2,67,77,87.0,10,65,2,1,1,1060,310,34,37,91.9,29,33,87.9,2,3,66.7,0.3,2,8,1,0,10,77,0,0,1,2,3,0,0,2,0,3,0,0,1,0.0,1,0,0,3,1,0,1,9,53,27,3,229,71,2,1,2,0,67,5,3,1,0,0,0,0,3,5,2,71.4
16,SEV-ATM,Rodrigo De Paul,5,ARG,CM,30,62,1,0,0,0,1,1,0,0,62,2,1,0,0.0,0.0,0.0,0,0,42,58,72.4,5,48,1,0,0,611,156,27,33,81.8,14,19,73.7,1,5,20.0,0.0,0,9,0,0,5,56,2,2,1,0,1,0,0,2,1,1,0,0,1,0.0,1,0,0,3,0,0,0,6,45,11,0,237,130,1,0,0,0,50,1,0,0,0,0,0,0,4,0,1,0.0
16,SEV-ATM,Koke,6,ESP,CM,32,28,0,1,0,0,0,0,0,0,38,2,0,2,0.0,0.0,0.0,3,1,24,29,82.8,3,19,1,2,0,439,100,13,16,81.3,7,8,87.5,3,4,75.0,0.0,1,4,0,0,3,29,0,0,0,0,1,0,0,1,0,1,1,2,2,100.0,0,0,2,2,1,0,1,4,19,15,1,76,45,2,0,0,0,21,1,0,0,0,0,0,0,2,0,0,0.0
16,SEV-ATM,Giuliano Simeone,22,ARG,RM,21,74,0,0,0,0,1,1,0,0,48,0,1,3,0.1,0.1,0.0,4,0,33,39,84.6,0,34,2,1,1,387,65,27,30,90.0,5,6,83.3,1,1,100.0,0.0,1,0,1,1,0,37,2,0,0,0,2,2,0,0,0,0,0,0,1,0.0,1,0,3,1,0,0,0,6,25,17,4,131,60,1,0,1,1,32,6,0,1,1,0,0,0,5,0,2,0.0
16,SEV-ATM,Samuel Lino,12,BRA,RM,24,16,1,1,0,0,1,1,0,0,18,0,0,1,0.0,0.0,0.4,2,1,10,13,76.9,1,14,1,1,0,182,42,4,7,57.1,6,6,100.0,0,0,0.0,0.2,2,1,2,2,1,13,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,1,0,1,0,0,0,0,2,6,10,0,68,40,1,0,0,0,15,1,0,1,0,0,0,0,1,0,0,0.0
16,SEV-ATM,Javi Galán,21,ESP,LB,30,90,0,0,0,0,1,0,1,0,79,2,0,2,0.0,0.0,0.2,3,1,57,71,80.3,4,55,2,5,2,820,256,40,46,87.0,14,18,77.8,3,5,60.0,0.1,1,3,1,1,4,61,10,0,0,0,5,10,0,1,0,2,0,2,5,40.0,3,0,2,2,0,0,0,11,45,23,0,264,132,4,0,1,0,58,9,3,1,0,0,0,0,3,0,2,0.0
